ResidentID,Age,ModeOfTransport,DailyDistance (km),CarbonEmissionFactor(kg CO?/km) ,Average Day per Month
A015,26,Car,16,0.21,23
A035,26,Car,17,0.21,27
A055,26,Car,17,0.21,20
A085,26,Car,16,0.21,27
A105,26,Car,17,0.21,27
A135,26,Car,16,0.21,30
A155,26,Car,17,0.21,26
A185,26,Car,16,0.21,28
A010,27,Car,12,0.21,24
A030,27,Car,14,0.21,22
A045,27,Car,14,0.21,30
A065,27,Car,16,0.21,29
A080,27,Car,14,0.21,24
A095,27,Car,14,0.21,20
A115,27,Car,16,0.21,22
A130,27,Car,14,0.21,25
A145,27,Car,14,0.21,21
A165,27,Car,16,0.21,29
A180,27,Car,14,0.21,20
A195,27,Car,14,0.21,28
A003,28,Bicycle,8,0,26
A025,28,Car,18,0.21,28
A040,28,Car,16,0.21,23
A060,28,Car,15,0.21,22
A075,28,Car,18,0.21,30
A090,28,Car,15,0.21,24
A110,28,Car,15,0.21,29
A125,28,Car,18,0.21,25
A140,28,Car,15,0.21,28
A160,28,Car,15,0.21,22
A175,28,Car,18,0.21,27
A190,28,Car,15,0.21,28
A006,29,Bus,10,0.05,21
A020,29,Car,15,0.21,20
A033,29,Bicycle,9,0,24
A050,29,Car,15,0.21,28
A070,29,Car,15,0.21,25
A083,29,Bicycle,8,0,22
A100,29,Car,15,0.21,21
A120,29,Car,15,0.21,21
A133,29,Bicycle,8,0,21
A150,29,Car,15,0.21,30
A170,29,Car,15,0.21,26
A183,29,Bicycle,8,0,20
A200,29,Car,15,0.21,25
A023,30,Bicycle,7,0,25
A051,30,Car,16,0.21,21
A073,30,Bicycle,9,0,20
A101,30,Car,16,0.21,29
A123,30,Bicycle,9,0,25
A151,30,Car,16,0.21,21
A173,30,Bicycle,9,0,21
A013,31,Bicycle,9,0,25
A043,31,Bicycle,8,0,29
A063,31,Bicycle,7,0,30
A093,31,Bicycle,8,0,23
A113,31,Bicycle,7,0,24
A143,31,Bicycle,8,0,25
A163,31,Bicycle,7,0,27
A193,31,Bicycle,8,0,23
A018,32,Bicycle,8,0,21
A038,32,Bicycle,7,0,27
A053,32,Bicycle,8,0,28
A068,32,Bicycle,8,0,22
A088,32,Bicycle,7,0,28
A103,32,Bicycle,8,0,23
A118,32,Bicycle,8,0,20
A138,32,Bicycle,7,0,29
A153,32,Bicycle,8,0,23
A168,32,Bicycle,8,0,21
A188,32,Bicycle,7,0,27
A008,33,Bicycle,7,0,25
A028,33,Bicycle,6,0,25
A058,33,Bicycle,6,0,27
A078,33,Bicycle,6,0,27
A108,33,Bicycle,6,0,21
A128,33,Bicycle,6,0,24
A158,33,Bicycle,6,0,28
A178,33,Bicycle,6,0,30
A001,34,Car,15,0.21,25
A048,34,Bicycle,7,0,27
A098,34,Bicycle,7,0,28
A148,34,Bicycle,7,0,29
A198,34,Bicycle,7,0,24
A026,35,Bus,10,0.05,25
A052,35,Bus,11,0.05,23
A076,35,Bus,10,0.05,25
A102,35,Bus,11,0.05,25
A126,35,Bus,10,0.05,22
A152,35,Bus,11,0.05,27
A176,35,Bus,10,0.05,23
A011,36,Car,14,0.21,22
A041,36,Car,15,0.21,23
A061,36,Car,14,0.21,28
A091,36,Car,14,0.21,30
A111,36,Car,14,0.21,27
A141,36,Car,14,0.21,20
A161,36,Car,14,0.21,22
A191,36,Car,14,0.21,23
A021,37,Car,14,0.21,22
A056,37,Bus,12,0.05,20
A071,37,Car,14,0.21,27
A106,37,Bus,12,0.05,23
A121,37,Car,14,0.21,24
A156,37,Bus,12,0.05,23
A171,37,Car,14,0.21,24
A005,38,Car,20,0.21,21
A036,38,Bus,12,0.05,26
A066,38,Bus,12,0.05,23
A086,38,Bus,12,0.05,27
A116,38,Bus,12,0.05,21
A136,38,Bus,12,0.05,25
A166,38,Bus,12,0.05,27
A186,38,Bus,12,0.05,27
A016,39,Bus,13,0.05,27
A046,39,Bus,12,0.05,23
A096,39,Bus,12,0.05,26
A146,39,Bus,12,0.05,29
A196,39,Bus,12,0.05,25
A031,40,Car,15,0.21,26
A081,40,Car,15,0.21,26
A131,40,Car,15,0.21,29
A181,40,Car,15,0.21,30
A012,41,Bus,11,0.05,26
A062,41,Bus,13,0.05,24
A112,41,Bus,13,0.05,27
A162,41,Bus,13,0.05,22
A002,42,Bus,12,0.05,26
A042,42,Bus,11,0.05,26
A092,42,Bus,11,0.05,30
A142,42,Bus,11,0.05,27
A192,42,Bus,11,0.05,29
A032,43,Bus,13,0.05,29
A082,43,Bus,13,0.05,22
A132,43,Bus,13,0.05,27
A182,43,Bus,13,0.05,21
A022,44,Bus,12,0.05,29
A072,44,Bus,12,0.05,23
A122,44,Bus,12,0.05,25
A172,44,Bus,12,0.05,26
A009,45,Walking,5,0,20
A037,46,Car,20,0.21,28
A067,46,Car,19,0.21,27
A087,46,Car,20,0.21,27
A117,46,Car,19,0.21,24
A137,46,Car,20,0.21,20
A167,46,Car,19,0.21,29
A187,46,Car,20,0.21,21
A017,47,Car,20,0.21,29
A057,47,Car,20,0.21,26
A107,47,Car,20,0.21,25
A157,47,Car,20,0.21,20
A047,48,Car,19,0.21,29
A097,48,Car,19,0.21,20
A147,48,Car,19,0.21,20
A197,48,Car,19,0.21,20
A027,49,Car,22,0.21,21
A077,49,Car,21,0.21,23
A127,49,Car,21,0.21,30
A177,49,Car,21,0.21,27
A007,50,Car,18,0.21,28
A029,51,Walking,5,0,25
A079,51,Walking,5,0,26
A129,51,Walking,5,0,27
A179,51,Walking,5,0,28
A049,52,Walking,5,0,26
A099,52,Walking,5,0,26
A149,52,Walking,5,0,25
A199,52,Walking,5,0,22
A019,53,Walking,3,0,28
A054,53,Walking,4,0,26
A104,53,Walking,4,0,26
A154,53,Walking,4,0,26
A039,54,Walking,4,0,30
A069,54,Walking,3,0,22
A089,54,Walking,4,0,27
A119,54,Walking,3,0,26
A139,54,Walking,4,0,20
A169,54,Walking,3,0,27
A189,54,Walking,4,0,25
A004,55,Walking,3,0,23
A044,55,Walking,3,0,30
A059,55,Walking,5,0,24
A094,55,Walking,3,0,26
A109,55,Walking,5,0,22
A144,55,Walking,3,0,27
A159,55,Walking,5,0,25
A194,55,Walking,3,0,29
A024,56,Walking,4,0,24
A074,56,Walking,4,0,25
A124,56,Walking,4,0,26
A174,56,Walking,4,0,21
A034,57,Walking,3,0,24
A084,57,Walking,3,0,27
A134,57,Walking,3,0,28
A184,57,Walking,3,0,23
A014,58,Walking,4,0,28
A064,58,Walking,4,0,23
A114,58,Walking,4,0,22
A164,58,Walking,4,0,25
